datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,city
2024-01-01,1704063600,7.6,1.6,5.3,6.6,-1.7,3.5,4.5,94.4,24.919,100.0,12.5,['rain'],0.0,0.0,37.1,22.8,276.6,1014.0,86.0,7.8,41.8,3.6,2.0,07:23:04,1704090184,16:20:32,1704122432,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '13348099999', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-02,1704150000,7.8,2.3,4.5,5.9,-0.3,3.0,2.8,88.9,2.545,100.0,4.17,['rain'],0.0,1.3,34.6,13.5,247.1,1015.1,66.7,12.3,66.2,5.7,3.0,07:23:08,1704176588,16:21:25,1704208885,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-03,1704236400,9.4,4.8,7.0,7.1,1.9,4.8,3.5,78.9,1.268,100.0,8.33,['rain'],0.0,0.0,52.6,20.0,231.2,1010.2,74.7,10.1,61.3,5.4,3.0,07:23:10,1704262990,16:22:20,1704295340,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '13348099999', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-04,1704322800,8.8,0.9,5.5,6.8,-0.8,3.5,3.7,88.5,9.783,100.0,8.33,['rain'],0.0,0.0,34.9,15.4,267.7,1009.1,51.5,10.9,59.0,5.2,3.0,07:23:08,1704349388,16:23:17,1704381797,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-05,1704409200,13.4,-1.2,4.4,13.4,-5.1,1.8,1.8,84.1,1.485,100.0,4.17,"['rain', 'snow']",0.0,0.7,48.2,24.7,211.9,1013.0,77.7,8.9,59.5,5.1,3.0,07:23:05,1704435785,16:24:16,1704468256,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '13348099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-06,1704495600,13.3,7.4,10.2,13.3,4.9,9.1,6.9,80.7,1.573,100.0,16.67,['rain'],0.0,0.9,59.4,29.2,190.6,1002.4,87.8,9.2,28.4,2.4,2.0,07:22:59,1704522179,16:25:16,1704554716,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-07,1704582000,7.8,1.8,4.9,7.7,-1.6,3.0,4.1,94.4,6.969,100.0,12.5,"['rain', 'snow']",3.4,0.5,28.4,16.5,312.8,998.9,91.4,6.0,12.7,1.1,1.0,07:22:50,1704608570,16:26:18,1704641178,0.87,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-08,1704668400,2.3,-3.7,-1.6,-0.3,-7.8,-4.8,-3.5,87.4,13.507,100.0,12.5,"['rain', 'snow']",5.2,6.7,24.8,12.9,328.8,1013.5,92.9,5.4,30.0,2.5,1.0,07:22:39,1704694959,16:27:22,1704727642,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-09,1704754800,-2.0,-5.6,-3.9,-4.3,-9.9,-7.7,-6.3,84.0,1.321,100.0,8.33,['snow'],0.4,7.1,23.4,12.7,15.2,1025.7,89.9,7.6,35.3,2.9,2.0,07:22:25,1704781345,16:28:27,1704814107,0.93,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-10,1704841200,-1.9,-4.9,-2.9,-1.9,-8.7,-5.7,-5.7,81.0,6.527,100.0,4.17,['snow'],0.0,8.3,21.2,9.8,44.3,1029.6,70.2,13.0,90.1,7.7,4.0,07:22:09,1704867729,16:29:33,1704900573,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-11,1704927600,-2.0,-4.6,-3.1,-2.0,-8.8,-5.4,-5.8,81.4,4.325,100.0,4.17,['snow'],0.0,7.9,15.8,26.5,45.1,1026.2,85.4,12.7,90.4,7.8,4.0,07:21:50,1704954110,16:30:41,1704987041,0.0,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-12,1705014000,-1.3,-6.1,-3.7,-3.1,-10.9,-7.1,-6.5,81.3,3.675,100.0,8.33,"['rain', 'snow']",0.7,6.6,28.4,15.1,311.4,1024.8,96.5,8.7,23.6,2.1,1.0,07:21:29,1705040489,16:31:50,1705073510,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
2024-01-13,1705100400,0.0,-8.3,-3.7,-2.3,-12.9,-6.9,-6.8,79.6,0.048,100.0,4.17,['snow'],0.0,7.1,18.7,13.5,357.1,1023.5,28.5,16.2,88.8,7.5,4.0,07:21:05,1705126865,16:33:01,1705159981,0.07,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '13353099999', 'LQMO', '14652099999', '14650099999', '14544099999']",obs,,Fojnica
