datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,city
2024-01-01,1704063600,9.2,4.6,6.9,9.2,1.9,5.1,6.0,94.0,28.666,100.0,12.5,['rain'],0.0,0.0,53.3,22.3,287.4,1014.1,92.2,7.5,32.2,2.7,2.0,07:22:38,1704090158,16:22:09,1704122529,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-02,1704150000,8.0,2.7,5.7,8.0,0.9,4.3,4.1,89.8,2.709,100.0,4.17,['rain'],0.0,1.4,43.9,14.9,282.9,1015.6,68.6,12.9,66.5,5.8,3.0,07:22:42,1704176562,16:23:02,1704208982,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-03,1704236400,10.8,5.5,7.5,10.8,1.7,5.2,5.2,85.8,1.343,100.0,8.33,['rain'],0.0,0.0,49.3,21.5,270.0,1011.6,83.3,9.9,51.2,4.5,3.0,07:22:44,1704262964,16:23:57,1704295437,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-04,1704322800,8.3,1.7,6.8,8.3,0.3,5.0,5.0,88.7,9.79,100.0,8.33,['rain'],0.0,0.0,60.5,17.0,294.9,1009.6,56.3,11.6,48.4,4.2,2.0,07:22:43,1704349363,16:24:53,1704381893,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-05,1704409200,14.1,0.3,5.3,14.1,-3.9,2.8,3.1,86.3,1.239,100.0,4.17,"['rain', 'snow']",0.0,0.9,51.5,23.6,237.3,1013.5,76.6,11.1,60.0,5.0,3.0,07:22:40,1704435760,16:25:51,1704468351,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-06,1704495600,15.0,9.1,11.6,15.0,6.0,11.0,7.7,77.4,3.4,100.0,16.67,['rain'],0.0,0.9,72.7,27.4,188.4,1002.9,88.1,9.8,27.2,2.5,2.0,07:22:34,1704522154,16:26:51,1704554811,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-07,1704582000,10.1,3.8,6.8,10.1,1.3,5.2,4.8,87.5,7.904,100.0,12.5,['rain'],0.0,0.0,40.3,16.2,337.7,997.5,86.4,8.5,22.7,1.8,1.0,07:22:26,1704608546,16:27:53,1704641273,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-08,1704668400,6.2,-2.3,1.3,5.2,-6.0,-1.7,-2.9,73.8,12.896,100.0,12.5,"['rain', 'snow']",1.5,3.0,40.0,16.9,2.3,1010.0,83.4,7.8,44.3,3.8,2.0,07:22:15,1704694935,16:28:56,1704727736,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-09,1704754800,2.7,-4.9,-1.7,1.2,-10.0,-5.4,-6.4,70.5,1.246,100.0,8.33,"['rain', 'snow']",0.0,5.5,44.6,16.1,45.3,1022.1,63.9,9.5,60.1,5.3,3.0,07:22:02,1704781322,16:30:01,1704814201,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
2024-01-10,1704841200,1.3,-4.4,-1.4,-0.8,-8.6,-4.5,-5.5,74.1,4.443,100.0,4.17,['snow'],0.0,6.6,32.0,11.9,73.9,1027.6,57.4,15.7,95.3,8.2,4.0,07:21:46,1704867706,16:31:07,1704900667,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"['LQSA', '14648099999', '14654099999', '14549099999', '14462099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14650099999', '14544099999', '14454099999']",obs,,Jablanica
