datetime,temp,humidity,precip,precipprob,windspeed,city
2024-01-01,10.3,95.3,10.038,100.0,7.3,Mostar
2024-01-02,8.9,92.8,0.002,100.0,7.1,Mostar
2024-01-03,10.4,91.9,0.401,100.0,7.6,Mostar
2024-01-04,10.3,89.6,4.995,100.0,14.5,Mostar
2024-01-05,7.3,91.4,0.001,100.0,13.1,Mostar
2024-01-06,14.3,80.0,4.001,100.0,36.4,Mostar
2024-01-07,11.0,81.7,4.603,100.0,20.2,Mostar
2024-01-08,7.5,56.3,0.006,100.0,24.6,Mostar
2024-01-09,3.9,52.3,0.002,100.0,28.1,Mostar
2024-01-10,3.0,59.6,0.0,0.0,17.5,Mostar
2024-01-11,2.0,67.2,0.0,0.0,17.7,Mostar
2024-01-12,3.4,51.1,0.001,100.0,21.6,Mostar
2024-01-13,2.8,47.8,0.0,0.0,14.3,Mostar
2024-01-14,-0.2,80.1,0.001,100.0,7.5,Mostar
2024-01-15,4.7,96.9,13.189,100.0,7.1,Mostar
2024-01-16,7.9,66.4,2.998,100.0,21.0,Mostar
2024-01-17,8.4,93.3,3.102,100.0,14.6,Mostar
2024-01-18,14.5,82.4,5.003,100.0,18.1,Mostar
2024-01-19,11.4,81.6,0.201,100.0,28.4,Mostar
2024-01-20,4.3,42.1,4.003,100.0,39.9,Mostar
2024-01-21,5.0,27.5,0.0,0.0,29.1,Mostar
2024-01-22,2.4,53.2,0.0,0.0,17.5,Mostar
2024-01-23,5.3,67.3,0.5,100.0,28.8,Mostar
2024-01-24,7.6,57.9,0.0,0.0,20.1,Mostar
2024-01-25,5.4,75.9,0.002,100.0,27.9,Mostar
2024-01-26,6.4,73.2,0.0,0.0,7.3,Mostar
2024-01-27,9.5,45.0,0.0,0.0,23.6,Mostar
2024-01-28,8.0,44.9,0.001,100.0,20.1,Mostar
2024-01-29,7.0,48.3,0.0,0.0,14.1,Mostar
2024-01-30,5.3,53.0,0.0,0.0,14.2,Mostar
2024-01-31,4.2,53.9,0.0,0.0,10.5,Mostar
2024-02-01,4.9,56.9,0.0,0.0,7.1,Mostar
2024-02-02,9.1,49.7,0.0,0.0,20.2,Mostar
2024-02-03,8.1,57.0,0.0,0.0,7.5,Mostar
2024-02-04,7.6,76.4,0.0,0.0,9.1,Mostar
2024-02-05,8.1,85.9,0.0,0.0,7.1,Mostar
2024-02-06,5.8,91.3,0.0,0.0,5.3,Mostar
2024-02-07,9.9,86.9,0.0,0.0,7.5,Mostar
2024-02-08,10.5,85.9,0.0,0.0,7.3,Mostar
2024-02-09,11.2,79.2,0.0,0.0,14.8,Mostar
2024-02-10,13.8,81.2,10.494,100.0,29.0,Mostar
2024-02-11,12.4,92.9,43.465,100.0,27.4,Mostar
2024-02-12,10.1,94.6,5.503,100.0,9.2,Mostar
2024-02-13,11.2,62.3,0.005,100.0,39.7,Mostar
2024-02-14,11.2,30.9,0.002,100.0,36.2,Mostar
2024-02-15,10.1,49.7,0.0,0.0,23.7,Mostar
2024-02-16,10.6,61.9,0.0,0.0,7.5,Mostar
2024-02-17,9.8,74.5,0.0,0.0,3.8,Mostar
2024-02-18,12.8,52.2,0.0,0.0,14.9,Mostar
2024-02-19,10.4,59.9,0.0,0.0,10.6,Mostar
2024-02-20,12.4,51.2,0.0,0.0,18.4,Mostar
2024-02-21,10.0,56.8,0.0,0.0,11.2,Mostar
2024-02-22,8.7,67.8,0.0,0.0,10.8,Mostar
2024-02-23,13.7,69.6,0.999,100.0,23.9,Mostar
2024-02-24,11.2,90.8,30.474,100.0,20.4,Mostar
2024-02-25,9.1,96.9,70.957,100.0,13.0,Mostar
2024-02-26,12.9,82.1,2.011,100.0,7.4,Mostar
2024-02-27,13.8,74.8,0.002,100.0,9.5,Mostar
2024-02-28,14.1,69.7,0.0,0.0,7.5,Mostar
2024-02-29,15.2,67.9,0.059,100.0,14.1,Mostar
2024-03-01,12.9,80.4,1.604,100.0,10.7,Mostar
2024-03-02,10.5,86.1,6.992,100.0,7.3,Mostar
2024-03-03,12.4,79.1,0.102,100.0,10.9,Mostar
2024-03-04,12.2,79.7,1.0,100.0,7.8,Mostar
2024-03-05,13.5,71.6,0.0,0.0,17.9,Mostar
2024-03-06,10.0,87.9,10.996,100.0,10.8,Mostar
2024-03-07,8.7,86.0,4.102,100.0,7.4,Mostar
2024-03-08,10.2,73.5,0.201,100.0,7.4,Mostar
2024-03-09,9.3,94.3,8.096,100.0,11.2,Mostar
2024-03-10,13.8,74.7,5.095,100.0,22.3,Mostar
2024-03-11,12.8,79.9,18.69,100.0,38.5,Mostar
2024-03-12,10.1,92.4,15.489,100.0,10.7,Mostar
2024-03-13,10.8,68.7,0.0,0.0,21.4,Mostar
2024-03-14,11.4,59.7,0.0,0.0,14.4,Mostar
2024-03-15,12.1,66.4,0.0,0.0,7.5,Mostar
2024-03-16,12.1,81.3,6.992,100.0,17.6,Mostar
2024-03-17,13.3,69.8,0.105,100.0,11.3,Mostar
2024-03-18,12.3,75.0,0.0,0.0,7.4,Mostar
2024-03-19,13.5,43.6,0.2,100.0,39.8,Mostar
2024-03-20,12.0,35.2,0.0,0.0,27.6,Mostar
2024-03-21,11.2,62.0,0.0,0.0,7.5,Mostar
2024-03-22,13.6,61.6,0.0,0.0,14.0,Mostar
2024-03-23,13.5,63.9,0.0,0.0,7.6,Mostar
2024-03-24,12.6,79.4,13.991,100.0,18.0,Mostar
2024-03-25,11.5,46.7,0.0,0.0,14.1,Mostar
2024-03-26,8.5,82.2,6.999,100.0,14.7,Mostar
2024-03-27,14.2,84.8,14.991,100.0,35.0,Mostar
2024-03-28,14.4,66.3,6.2,100.0,27.5,Mostar
2024-03-29,17.6,58.3,0.9,100.0,13.1,Mostar
2024-03-30,16.4,51.9,0.0,0.0,29.5,Mostar
2024-03-31,19.6,35.1,0.0,0.0,35.2,Mostar
2024-04-01,18.8,50.7,0.0,0.0,38.8,Mostar
2024-04-02,14.7,66.3,5.994,100.0,29.3,Mostar
2024-04-03,12.6,64.4,0.1,100.0,7.4,Mostar
2024-04-04,15.0,62.0,0.0,0.0,7.5,Mostar
2024-04-05,15.4,69.0,0.0,0.0,7.5,Mostar
2024-04-06,16.3,69.2,0.0,0.0,7.3,Mostar
2024-04-07,18.3,71.4,0.0,0.0,7.4,Mostar
2024-04-08,19.7,62.0,0.0,0.0,7.5,Mostar
2024-04-09,18.1,60.2,0.0,0.0,7.3,Mostar
2024-04-10,17.7,59.6,0.0,0.0,12.6,Mostar
2024-04-11,21.3,49.3,0.0,0.0,21.7,Mostar
2024-04-12,22.3,48.7,0.0,0.0,18.3,Mostar
2024-04-13,21.8,56.9,0.0,0.0,14.6,Mostar
2024-04-14,20.6,60.7,0.0,0.0,10.6,Mostar
2024-04-15,19.1,65.6,0.0,0.0,11.0,Mostar
2024-04-16,18.9,70.1,0.002,100.0,20.4,Mostar
2024-04-17,11.4,70.7,2.306,100.0,35.1,Mostar
2024-04-18,11.8,49.7,0.0,0.0,17.6,Mostar
2024-04-19,12.7,44.1,0.0,0.0,21.4,Mostar
2024-04-20,10.8,56.1,0.001,100.0,10.7,Mostar
2024-04-21,12.8,52.6,0.003,100.0,21.7,Mostar
2024-04-22,12.8,59.7,0.0,0.0,10.9,Mostar
2024-04-23,11.7,78.3,1.998,100.0,14.0,Mostar
2024-04-24,10.9,89.1,15.986,100.0,14.5,Mostar
2024-04-25,11.6,70.8,5.996,100.0,17.9,Mostar
2024-04-26,11.5,78.2,1.998,100.0,11.0,Mostar
2024-04-27,16.0,62.2,0.0,0.0,9.2,Mostar
2024-04-28,17.6,58.7,0.0,0.0,10.6,Mostar
2024-04-29,19.7,58.7,0.0,0.0,38.3,Mostar
2024-04-30,20.2,57.0,0.0,0.0,10.9,Mostar
2024-05-01,18.1,70.5,3.8,100.0,22.2,Mostar
2024-05-02,18.3,77.0,7.5,100.0,18.3,Mostar
2024-05-03,14.3,86.7,6.434,100.0,7.8,Mostar
2024-05-04,17.3,69.9,0.0,0.0,9.6,Mostar
2024-05-05,17.8,64.8,0.0,0.0,10.9,Mostar
2024-05-06,17.6,67.3,0.0,0.0,7.4,Mostar
2024-05-07,17.6,71.5,0.0,0.0,14.2,Mostar
2024-05-08,20.4,63.9,0.401,100.0,17.5,Mostar
2024-05-09,20.8,56.2,0.002,100.0,32.0,Mostar
2024-05-10,20.5,49.8,0.0,0.0,25.3,Mostar
2024-05-11,20.6,43.1,0.002,100.0,21.1,Mostar
2024-05-12,19.8,54.5,0.0,0.0,17.8,Mostar
2024-05-13,18.5,67.4,0.0,0.0,14.6,Mostar
2024-05-14,16.4,84.7,7.99,100.0,10.6,Mostar
2024-05-15,17.4,81.8,4.0,100.0,10.6,Mostar
2024-05-16,19.4,72.0,3.996,100.0,11.5,Mostar
2024-05-17,23.5,60.8,0.001,100.0,18.0,Mostar
2024-05-18,20.2,73.6,0.001,100.0,17.5,Mostar
2024-05-19,22.0,74.2,0.699,100.0,7.5,Mostar
2024-05-20,23.6,72.4,0.2,100.0,12.7,Mostar
2024-05-21,22.6,71.2,0.2,100.0,24.0,Mostar
2024-05-22,19.8,73.8,5.097,100.0,11.2,Mostar
2024-05-23,18.1,78.2,1.999,100.0,24.9,Mostar
2024-05-24,20.4,65.7,0.0,0.0,10.9,Mostar
2024-05-25,20.6,64.7,0.0,0.0,10.9,Mostar
2024-05-26,18.5,80.3,3.298,100.0,14.3,Mostar
2024-05-27,19.8,76.6,8.992,100.0,21.4,Mostar
2024-05-28,19.3,78.6,0.899,100.0,7.4,Mostar
2024-05-29,21.2,69.1,0.899,100.0,14.4,Mostar
2024-05-30,20.1,77.5,9.989,100.0,7.6,Mostar
2024-05-31,19.0,89.9,46.749,100.0,16.5,Mostar
2024-06-01,22.7,66.5,3.005,100.0,22.3,Mostar
2024-06-02,22.3,78.1,4.097,100.0,7.5,Mostar
2024-06-03,19.7,86.2,8.999,100.0,11.1,Mostar
2024-06-04,20.7,70.1,0.001,100.0,7.5,Mostar
2024-06-05,21.3,66.8,0.0,0.0,11.0,Mostar
